Species,CalendarYear,SpeciesType,SACN,Imports,Exports,Consumption,Production,Purchases,UKPOP,Protein_g100g,Omega3_DHAEPA_g100g,VitaminA_ľg100g,VitaminD_ľg100g,VitaminB12_ľg100g,Zinc_mg100g,Iron_mg100g,Calcium_mg100g,Selenium_ľg100g,Iodine_ľg100g
Char,2018,Freshwater,Oily,NA,NA,NA,2614400,NA,66435600,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Char,2013,Freshwater,Oily,NA,NA,NA,4912750,NA,64105700,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Char,2016,Freshwater,Oily,NA,NA,NA,7189600,NA,65648100,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Char,2017,Freshwater,Oily,NA,NA,NA,6398400,NA,66040200,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Char,2014,Freshwater,Oily,NA,NA,NA,4419970,NA,64596800,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Char,2011,Freshwater,Oily,NA,NA,NA,5375000,NA,63285100,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Char,2010,Freshwater,Oily,NA,NA,NA,5891000,NA,62759500,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Char,2015,Freshwater,Oily,NA,NA,NA,4863300,NA,65110000,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Char,2012,Freshwater,Oily,NA,NA,NA,3388400,NA,63705000,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Char,2009,Freshwater,Oily,NA,NA,NA,3999000,NA,62260500,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Char,2019,Freshwater,Oily,NA,NA,NA,2625150,NA,66796800,16.1,1.06,30,6.9,10,0.4,0.2,16,30,20
Cod,2010,Marine,Lean,1.03E+11,31343649000,57016002011,12887041650,NA,62759500,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2018,Marine,Lean,1.02E+11,13973408000,57392632846,17275627900,NA,66435600,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2014,Marine,Lean,1.15E+11,15074681000,65123716526,15124414350,NA,64596800,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2013,Marine,Lean,1.15E+11,16154011000,71080988789,14740003300,NA,64105700,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2012,Marine,Lean,1.01E+11,19186436000,62786441284,13233261550,NA,63705000,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2017,Marine,Lean,1.09E+11,16069671000,49083791179,19211383550,NA,66040200,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2009,Marine,Lean,1.07E+11,32810241000,59644983557,11268616800,NA,62260500,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2016,Marine,Lean,1.19E+11,16430581000,68469490927,17061712550,NA,65648100,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2011,Marine,Lean,1.04E+11,35364590000,72705840079,11594355650,NA,63285100,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2015,Marine,Lean,1.14E+11,15461819000,67286442997,14149833550,NA,65110000,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2020,Marine,Lean,96847713000,9691269000,34357878077,12374935600,NA,67081000,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
Cod,2019,Marine,Lean,1.04E+11,11710900000,54979364189,14499718400,NA,66796800,17.5,0.074693515,2,NA,1.45,0.34,0.1,12,23,196
