DataSupplier,UniqueSeafoodSpecies,CommonSpeciesName,SACN_Desc,CFValue,ISSCAAP_Desc,ISSCAAP_Code
HMRC,Crab,Crab,Shellfish,0.45,Crustaceans,4
NDNS,CRAB BOILED,Crab,Shellfish,1,Crustaceans,4
NDNS,CRAB CANNED,Crab,Shellfish,1,Crustaceans,4
PHE,"Crab, average of white and brown meat",Crab,Shellfish,1,Crustaceans,4
NDNS,"Crab, canned",Crab,Shellfish,1,Crustaceans,4
NDNS,"Crab, fresh",Crab,Shellfish,1,Crustaceans,4
MMO,Crabs,Crab,Shellfish,0.45,Crustaceans,4
HMRC,Freshwater crayfish ,Crayfish ,Shellfish,0.45,Crustaceans,4
HMRC,Rock lobster and  sea crawfish,Crayfish ,Shellfish,0.45,Crustaceans,4
HMRC,Rock lobster and sea crawfish,Crayfish ,Shellfish,0.45,Crustaceans,4
NDNS,Lobster boiled,Lobster,Shellfish,1,Crustaceans,4
NDNS,LOBSTER BOILED FLESH ONLY,Lobster,Shellfish,1,Crustaceans,4
MMO,Lobsters,Lobster,Shellfish,0.45,Crustaceans,4
HMRC,Lobster Homarus spp,Lobster ,Shellfish,0.45,Crustaceans,4
HMRC,Lobster Homarus spp.,Lobster ,Shellfish,0.45,Crustaceans,4
HMRC,"Lobster, Norway",Nephrops,Shellfish,0.45,Crustaceans,4
HMRC,Nephrops,Nephrops,Shellfish,0.45,Crustaceans,4
NDNS,SCAMPI COATED FRIED BLENDED,Nephrops,Shellfish,1,Crustaceans,4
NDNS,SCAMPI IN BREADCRUMBS FROZEN GRILLED OR OVEN BAKED,Nephrops,Shellfish,1,Crustaceans,4
NDNS,"Scampi, fried",Nephrops,Shellfish,1,Crustaceans,4
NDNS,"Scampi, grilled or oven baked",Nephrops,Shellfish,1,Crustaceans,4
HMRC,Other crustaceans,Other molluscs,Shellfish,0.45,Crustaceans,4
NDNS,PRAWN BHUNA,Prawn,Shellfish,1,Crustaceans,4
NDNS,"Prawn bhuna, curry",Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWN BIRYANI,Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWN CHOW MEIN,Prawn,Shellfish,1,Crustaceans,4
NDNS,"Prawn chow mein, stir fry (with noodles)",Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWN CURRY,Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWN CURRY CREAM/COCONUT SAUC,Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWN CURRY TAKEAWAY NO RICE,Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWN CURRY WITH RICE READY MEAL EG ICELAND,Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWN MAYONNAISE PURCHASED,Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWN STIR-FRY IN OYSTER SAUCE,Prawn,Shellfish,1,Crustaceans,4
NDNS,Prawn/seafood cocktail sandwich/deli filler,Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWNS BOILED FLESH ONLY,Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWNS CANNED DRAINED,Prawn,Shellfish,1,Crustaceans,4
NDNS,PRAWNS WRAPPED IN FILO PASTRY,Prawn,Shellfish,1,Crustaceans,4
PHE,"Prawns, king, warm-water, raw",Prawn,Shellfish,1,Crustaceans,4
NDNS,"Prawns, wrapped in filo pastry",Prawn,Shellfish,1,Crustaceans,4
NDNS,"Prawns/shrimps, boiled",Prawn,Shellfish,1,Crustaceans,4
HMRC,Shrimp Crangon spp,Prawn,Shellfish,0.45,Crustaceans,4
HMRC,"Shrimp,  coldwater",Prawn,Shellfish,0.45,Crustaceans,4
HMRC,"Shrimp, coldwater",Prawn,Shellfish,0.45,Crustaceans,4
HMRC,"Shrimp, Crangon spp.",Prawn,Shellfish,0.45,Crustaceans,4
HMRC,"Shrimp, deep-water rose",Prawn,Shellfish,0.45,Crustaceans,4
HMRC,"Shrimp, miscellaneous",Prawn,Shellfish,0.45,Crustaceans,4
HMRC,"Shrimp, miscellaneous ",Prawn,Shellfish,0.45,Crustaceans,4
HMRC,"Shrimp, warmwater",Prawn,Shellfish,0.45,Crustaceans,4
MMO,Shrimps and Prawns,Prawn,Shellfish,0.45,Crustaceans,4
NDNS,SHRIMPS BOILED FLESH ONLY,Prawn,Shellfish,1,Crustaceans,4
NDNS,SHRIMPS POTTED IN BUTTER,Prawn,Shellfish,1,Crustaceans,4
Norwegian_FC,"Conger eel, raw",Conger eel,Oily,1,Diadromous,2
HMRC,Cusk-eel,Cusk-eel,Lean,0.48,Diadromous,2
HMRC,Eel,Eel,Oily,0.48,Diadromous,2
NDNS,EEL JELLIED,Eel,Oily,1,Diadromous,2
NDNS,EEL STEWED FLESH ONLY,Eel,Oily,1,Diadromous,2
Norwegian_FC,"Eel, raw",Eel,Oily,1,Diadromous,2
HMRC,Other salmonids,Other marine fish,Oily,0.48,Diadromous,2
DEFRA_household,119,Salmon,Oily,1,Diadromous,2
DEFRA_household,10701,Salmon,Oily,1,Diadromous,2
DEFRA_household,10702,Salmon,Oily,1,Diadromous,2
CEFAS,Atlantic salmon,Salmon,Oily,0.5,Diadromous,2
NDNS,"FISHCAKES, SALMON, RETAIL, COATED IN BREADCRUMBS, BAKED/GRILLED",Salmon,Oily,1,Diadromous,2
HMRC,Salmon,Salmon,Oily,0.5,Diadromous,2
NDNS,Salmon en croute,Salmon,Oily,1,Diadromous,2
NDNS,SALMON EN CROUTE WITH SAUCE & PUFF PASTRY,Salmon,Oily,1,Diadromous,2
